1.14.190.24,known attacker,"abuseipdb.com (+blocklist.de,dataplane.org,github.com/scriptzteam/badIPS,greensnow.co)"
1.14.192.57,known attacker,"abuseipdb.com (+blocklist.de,dataplane.org)"
1.15.22.43,known attacker,"abuseipdb.com (+blocklist.de,dataplane.org,ip.blackhole.monster,rutgers.edu)"
1.15.48.122,known attacker,"abuseipdb.com (+blocklist.de,dataplane.org,github.com/scriptzteam/badIPS,ip.blackhole.monster,rutgers.edu)"
1.15.51.35,known attacker,"abuseipdb.com (+blocklist.de,dataplane.org,github.com/scriptzteam/badIPS)"
1.15.52.140,known attacker,"abuseipdb.com (+blocklist.de,dataplane.org)"
1.15.70.75,known attacker,"abuseipdb.com (+blocklist.de,dataplane.org,ip.blackhole.monster)"
1.15.71.65,known attacker,"abuseipdb.com (+blocklist.de,dataplane.org,rutgers.edu)"
1.15.80.32,known attacker,"abuseipdb.com (+blocklist.de,dataplane.org)"
1.15.84.248,known attacker,"abuseipdb.com (+blocklist.de,dataplane.org,rutgers.edu)"
1.15.94.178,known attacker,"abuseipdb.com (+blocklist.de,dataplane.org)"
1.15.113.217,known attacker,"abuseipdb.com (+blocklist.de,dataplane.org,ip.blackhole.monster)"
1.15.114.161,known attacker,"abuseipdb.com (+blocklist.de,dataplane.org,ip.blackhole.monster)"
1.15.114.184,known attacker,"abuseipdb.com (+blocklist.de,dataplane.org,github.com/scriptzteam/badIPS,rutgers.edu)"
1.15.122.64,known attacker,"abuseipdb.com (+blocklist.de,dataplane.org,greensnow.co,rutgers.edu)"
1.15.132.51,known attacker,"abuseipdb.com (+blocklist.de,dataplane.org)"
1.15.155.17,known attacker,"abuseipdb.com (+blocklist.de,dataplane.org)"
1.15.220.90,known attacker,"abuseipdb.com (+blocklist.de,dataplane.org)"
1.15.224.240,known attacker,"abuseipdb.com (+blocklist.de,dataplane.org,github.com/scriptzteam/badIPS,ip.blackhole.monster)"
1.15.240.159,known attacker,"abuseipdb.com (+blocklist.de,dataplane.org)"
1.15.242.165,known attacker,"abuseipdb.com (+blocklist.de,dataplane.org,github.com/scriptzteam/badIPS)"
1.15.247.236,known attacker,"abuseipdb.com (+blocklist.de,dataplane.org,github.com/scriptzteam/badIPS,greensnow.co)"
1.15.248.71,known attacker,"abuseipdb.com (+blocklist.de,dataplane.org,github.com/scriptzteam/badIPS,greensnow.co,ip.blackhole.monster)"
1.15.252.13,known attacker,"abuseipdb.com (+blocklist.de,dataplane.org,github.com/scriptzteam/badIPS)"
1.20.156.196,known attacker,"abuseipdb.com (+blocklist.de,dataplane.org,github.com/scriptzteam/badIPS)"
